"","Sample_ID","OR","Project","Date_sampled","WY","FL","TW","Station_code","Site.Name","Region_USE","Lat","Long","Region_subdivided5"
"177","DM15079",402.379,"DM","2015-03-20",2015,53,1.53,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"178","DM15081",336.629,"DM","2015-02-27",2015,47,1.02,"LP003E","Terminous","Delta",38.10993564,-121.5001684,"Cosumnes runoff"
"179","DM15082",306.322,"DM","2015-02-27",2015,42,0.57,"LP003E","Terminous","Delta",38.10993564,-121.5001684,"Cosumnes runoff"
"180","DM15083",502.798,"DM","2015-04-06",2015,75,4.41,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"181","DM15084",307.25,"DM","2015-03-11",2015,45,0.89,"SJ063W","Big Beach","SJR",37.72497212,-121.2968653,"Lower SJR"
"182","DM15091",370.434,"DM","2015-03-17",2015,58,2.04,"SR024E","Koket","Delta",38.24039242,-121.5547949,"Lower Sac"
"183","DM15092",350.006,"DM","2015-03-17",2015,61,2.24,"SR024E","Koket","Delta",38.24039242,-121.5547949,"Lower Sac"
"184","DM15093",306.775,"DM","2015-02-27",2015,42,0.51,"DS002S","King Island","Delta",38.05876504,-121.4583571,"excl"
"185","DM15095",269.601,"DM","2015-02-19",2015,34,0.46,"SJ001S","Antioch Dunes","Delta",38.01480683,-121.7827132,"West Delta"
"186","DM15096",283.305,"DM","2015-02-27",2015,45,0.53,"DS002S","King Island","Delta",38.05876504,-121.4583571,"excl"
"187","DM15097",349.753,"DM","2015-03-23",2015,51,1.3,"SR012W","Sandy Beach","Delta",38.13888707,-121.6953247,"Yolo runoff"
"188","DM15098",429.563,"DM","2015-04-14",2015,78,5.1,"SR024E","Koket","Delta",38.24039242,-121.5547949,"Lower Sac"
"189","DM15099",281.437,"DM","2015-02-19",2015,39,0.37,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"190","DM15100",273.07,"DM","2015-02-19",2015,38,0.34,"SR014W","Rio Vista","Delta",38.18651797,-121.6626646,"Yolo runoff"
"191","DM15102",271.104,"DM","2015-03-06",2015,36,0.5,"SR024E","Koket","Delta",38.24039242,-121.5547949,"Lower Sac"
