"","Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"348","WR15-7250",2012,770,NA,163.995,NA,NA,"AME"
"349","WR15-7254",2012,768,123.758,NA,NA,NA,"LAS"
"350","WR15-7257",2012,679,NA,NA,NA,NA,"SAC"
"351","WR15-7260",2012,720,NA,NA,NA,121.729,"DEL"
"352","WR15-7262",2012,760,NA,NA,NA,NA,"SAC"
"353","WR15-7270",2011,745,NA,NA,NA,159.249,"DEL"
"354","WR15-7273",2012,815,NA,NA,NA,NA,"SAC"
"355","WR15-7282",2012,740,NA,NA,NA,NA,"SAC"
"356","WR15-7287",2012,692,NA,NA,NA,NA,"SAC"
"357","WR15-7292",2012,731,NA,NA,NA,NA,"SAC"
"358","WR15-7295",2012,694,NA,NA,NA,151.799,"DEL"
"359","WR15-7301",2012,800,NA,NA,NA,NA,"SAC"
"360","WR15-7303",2012,700,NA,NA,NA,NA,"SAC"
"361","WR15-7306",2011,705,NA,277.328,NA,NA,"AME"
"362","WR15-7306B",2011,NA,NA,NA,NA,NA,"SAC"
"363","WR15-7308",2012,733,NA,NA,NA,NA,"SAC"
"364","WR15-7321",2012,663,NA,NA,NA,NA,"SAC"
"365","WR15-7326",2012,712,NA,NA,NA,NA,"SAC"
"366","WR15-7332",2013,550,NA,NA,NA,NA,"SAC"
"367","WR15-7335",2012,741,NA,NA,NA,236.356,"DEL"
"368","WR15-7340",2012,745,NA,NA,NA,NA,"SAC"
"369","WR15-7343",2012,610,NA,NA,NA,224.86,"DEL"
"370","WR15-7349",2012,665,155.88,NA,NA,NA,"LAS"
"371","WR15-7352",2012,683,NA,NA,NA,NA,"SAC"
"372","WR15-7356",2012,716,NA,NA,NA,NA,"SAC"
"373","WR15-7362",2012,748,NA,NA,NA,192.399,"DEL"
"374","WR15-7370",2013,594,NA,NA,NA,NA,"SAC"
"375","WR15-7371",2012,704,NA,NA,NA,NA,"SAC"
"376","WR15-7373",2013,699,NA,NA,NA,NA,"SAC"
"377","WR15-7374",2012,660,NA,NA,NA,NA,"SAC"
"378","WR15-7375",2012,703,NA,NA,NA,NA,"SAC"
"379","WR15-80117",2012,750,NA,NA,NA,NA,"SAC"
"380","WR15-80122",2012,740,NA,NA,NA,217.064,"DEL"
"381","WR15-80136",2012,780,NA,NA,NA,191.046,"DEL"
"382","WR15-80137",2012,740,NA,NA,NA,NA,"SAC"
"383","WR15-80140",2012,770,NA,NA,NA,NA,"SAC"
"384","WR15-80144",2012,720,45.986,NA,NA,NA,"LAS"
"385","WR15-80145",2012,730,NA,NA,NA,NA,"SAC"
"386","WR15-80148",2012,730,NA,NA,NA,NA,"SAC"
"387","WR15-80157",2012,710,NA,NA,NA,NA,"SAC"
"388","WR15-80160",2012,730,NA,201.866,NA,NA,"AME"
"389","WR15-80163",2012,760,105.499,NA,NA,NA,"LAS"
"390","WR15-80171",2012,840,NA,181.917,NA,NA,"AME"
"391","WR15-80181",2012,840,NA,NA,NA,NA,"SAC"
"392","WR15-80189",2012,750,NA,NA,NA,NA,"SAC"
"393","WR15-80190",2012,690,NA,NA,NA,162.981,"DEL"
"394","WR15-80192",2012,740,NA,NA,NA,190.708,"DEL"
"395","WR15-80196",2012,750,NA,NA,NA,NA,"SAC"
"396","WR15-80200",2012,870,NA,418.612,NA,NA,"AME"
"397","WR15-80201",2012,820,NA,NA,NA,NA,"SAC"
"398","WR15-80203",2012,790,NA,294.462,NA,NA,"AME"
"399","WR15-80204",2012,780,NA,NA,NA,189.356,"DEL"
"400","WR15-80205",2012,790,NA,NA,NA,287.753,"DEL"
"401","WR15-80206",2012,770,NA,NA,NA,206.736,"DEL"
"402","WR15-80207",2012,770,NA,NA,NA,NA,"SAC"
"403","WR15-80215",2012,760,NA,NA,NA,NA,"SAC"
"404","WR15-80217",2012,750,NA,NA,NA,NA,"SAC"
"405","WR15-80218",2012,710,NA,NA,NA,NA,"SAC"
"406","WR15-80223",2012,780,NA,NA,NA,NA,"SAC"
"407","WR15-80224",2012,720,NA,NA,NA,NA,"SAC"
"408","WR15-80225",2012,730,NA,NA,NA,NA,"SAC"
"409","WR15-80226",2012,780,NA,147.426,NA,NA,"AME"
"410","WR15-80227",2012,720,NA,NA,NA,233.446,"DEL"
"411","WR15-80229",2012,710,126.031,NA,NA,NA,"LAS"
"412","WR15-80230",2012,820,NA,NA,NA,NA,"SAC"
"413","WR15-80232",2012,790,NA,NA,NA,NA,"SAC"
"414","WR15-80233",2012,850,NA,NA,NA,224.183,"DEL"
"415","WR15-80234",2012,790,NA,321.904,NA,NA,"AME"
"416","WR15-80237",2012,720,NA,NA,NA,154.528,"DEL"
"417","WR15-80238",2012,720,NA,NA,NA,247.515,"DEL"
"418","WR15-80240",2012,730,NA,NA,NA,NA,"SAC"
